NUM;FECHA_CORTE;PERIODO;EMPRESA;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO_DISTRITO;TECNOLOGÍA;SEGMENTO;RANGO_VELOC_BAJADA;VELOC_INFERIOR_KBPS;VELOC_SUPERIOR_EXCLUYENTE_KBPS;CANT_CONEXIONES
90;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;INDEPENDENCIA;20105;Fibra Óptica;Comercial;30 Mbps <= BW < 50 Mbps;30720;51200;1
91;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;INDEPENDENCIA;20105;Fibra Óptica;Comercial;50 Mbps <= BW < 100 Mbps;51200;102400;19
92;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;INDEPENDENCIA;20105;Fibra Óptica;Comercial;100 Mbps <= BW < 200 Mbps;102400;204800;14
93;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;INDEPENDENCIA;20105;Fibra Óptica;Comercial;BW >= 200 Mbps;204800;N.A.;5
94;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;INDEPENDENCIA;20105;Fibra Óptica;Residencial;8 Mbps <= BW < 16 Mbps;8192;16384;256
95;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;INDEPENDENCIA;20105;Fibra Óptica;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;59
96;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;INDEPENDENCIA;20105;Fibra Óptica;Residencial;30 Mbps <= BW < 50 Mbps;30720;51200;734
97;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;INDEPENDENCIA;20105;Fibra Óptica;Residencial;50 Mbps <= BW < 100 Mbps;51200;102400;2054
98;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;INDEPENDENCIA;20105;Fibra Óptica;Residencial;100 Mbps <= BW < 200 Mbps;102400;204800;1178
99;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;INDEPENDENCIA;20105;Fibra Óptica;Residencial;BW >= 200 Mbps;204800;N.A.;107
100;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;INDEPENDENCIA;20105;Otras Tecnologías;Comercial;8 Mbps <= BW < 16 Mbps;8192;16384;2
101;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;INDEPENDENCIA;20105;Otras Tecnologías;Comercial;16 Mbps <= BW < 30 Mbps;16384;30720;6
